Query;DCG
00001;11.869640294191866
00002;2.6309297535714578
00003;10.203223330033547
00004;5.576812613309768
00005;18.857083548024093
00006;6.887841247654284
00007;7.861353116146786
00008;0.0
00009;11.605183772457382
00010;20.77024719194868
00011;18.58887821939364
00012;0.0
00013;11.76843327543947
00014;11.345845412556548
00015;19.215035718212743
00016;23.119227948516713
00017;11.806426923536987
00018;4.0
00019;2.2948513705756683
00020;35.10822508384005
00021;0.0
00022;7.277755011201775
00023;5.426867696798478
00024;1.0
00025;2.637243122648133
00026;19.50361360259478
00027;12.04743802857166
00028;6.842947321858109
00029;0.5
00030;8.40561954049643
00031;25.356207864382966
00032;11.154648767857287
00033;36.5687066295713
00034;24.84750294080258
00035;8.372683881726175
00036;5.769526363161609
00037;46.361164500843586
00038;0.6315033493527676
00039;9.3861863699844
00040;8.430676558073394
00041;14.371405211937823
00042;27.408555111791525
00043;20.252891292254237
00044;26.006700610033025
00045;16.90016950093917
00046;17.700820818938624
00047;2.3211168434072498
00048;11.52686129171735
00049;26.898376358109186
00050;22.805369103701906
00051;8.0
00052;8.0
00053;3.4854089133666384
00054;33.808084392473255
00055;0.7124143742160444
00056;2.0
00057;19.919916929441673
00058;14.158855981093463
00059;3.8459188555832737
00060;13.04743802857166
00061;37.120107175836104
00062;2.152932693565151
00063;2.0
00064;5.934264036172708
00065;17.53323329712937
00066;6.978114586645053
00067;5.789859043088191
00068;3.4454124645871445
00069;22.716557472882087
00070;23.66778145923099
00071;4.039169718883307
00072;12.137935005582927
00073;19.85272180478321
00074;11.5
00075;11.053852306750292
00076;13.080174577973018
00077;8.0
00078;0.0
00079;2.061381394922316
00080;11.014735906513751
00081;14.85077231117291
00082;21.091261104272483
00083;12.883558534288516
00084;8.31387934836071
00085;0.0
00086;16.958890220802452
00087;4.0
00088;6.0
00089;10.130929753571458
00090;33.386794568964966
00091;12.829159613214427
00092;19.826932360819534
00094;3.7079696506417914
00095;9.58532532593068
00096;8.0
00097;16.926105108086276
00098;5.654648767857287
00099;16.416508275000204
00100;16.547438028571662
Mean DCG;12.3675579788183
