Query;Reciprocal Rank
00001;0.25
00002;0.5
00003;1.0
00004;0.3333333333333333
00005;1.0
00006;0.5
00007;1.0
00009;1.0
00010;0.3333333333333333
00011;1.0
00013;1.0
00014;1.0
00015;1.0
00016;1.0
00017;1.0
00018;1.0
00019;0.038461538461538464
00020;1.0
00021;0.125
00022;1.0
00023;0.07142857142857142
00024;1.0
00025;1.0
00026;1.0
00027;1.0
00028;0.5
00029;0.5
00030;1.0
00031;1.0
00032;1.0
00033;1.0
00034;1.0
00035;1.0
00036;1.0
00037;1.0
00038;1.0
00039;1.0
00040;0.5
00041;0.5
00042;1.0
00043;1.0
00044;1.0
00045;1.0
00046;1.0
00047;0.5
00048;0.3333333333333333
00049;1.0
00050;1.0
00051;1.0
00052;1.0
00053;0.2
00054;1.0
00055;0.2
00056;1.0
00057;1.0
00058;0.16666666666666666
00059;1.0
00060;0.5
00061;1.0
00062;0.3333333333333333
00063;0.5
00064;1.0
00065;1.0
00066;0.25
00067;0.5
00068;1.0
00069;1.0
00070;1.0
00071;1.0
00072;0.5
00073;1.0
00074;1.0
00075;1.0
00076;1.0
00077;1.0
00078;0.3333333333333333
00079;0.5
00080;0.5
00081;1.0
00082;1.0
00083;1.0
00084;1.0
00085;0.25
00086;1.0
00087;1.0
00088;1.0
00089;1.0
00090;1.0
00091;1.0
00092;1.0
00094;1.0
00095;1.0
00096;1.0
00097;1.0
00098;1.0
00099;1.0
00100;1.0
MRR;0.8218373550847778
